label,text,clean_text,category
1,选择珠江花园的原因就是方便，有电动扶梯直接到达海边，周围餐馆、食廊、商场、超市、摊位一应俱全。酒店装修一般，但还算整洁。 泳池在大堂的屋顶，因此很小，不过女儿倒是喜欢。 包的早餐是西式的，还算丰富。 服务吗，一般,选择 珠江 花园 原因 就是 方便 电动 扶梯 直接 到达 海边 周围 餐馆 食廊 商场 超市 摊位 一应俱全 装修 一般 整洁 泳池 大堂 屋顶 因此 很小 不过 女儿 喜欢 早餐 西式 丰富 服务 一般,Hotel
1,15.4寸笔记本的键盘确实爽，基本跟台式机差不多了，蛮喜欢数字小键盘，输数字特方便，样子也很美观，做工也相当不错,笔记本 键盘 确实 基本 台式机 差不多 喜欢 数字 小键盘 数字 方便 样子 美观 做工 相当 不错,PC
0,房间太小。其他的都一般。。。。。。。。。,太小 其他 一般,Hotel
0,"1.接电源没有几分钟,电源适配器热的不行. 2.摄像头用不起来. 3.机盖的钢琴漆，手不能摸，一摸一个印. 4.硬盘分区不好办.",接电源 几分钟 电源适配器 不行 摄像头 起来 机盖 钢琴漆 不能 一摸 一个 硬盘分区 不好办,Others
1,"今天才知道这书还有第6卷,真有点郁闷:为什么同一套书有两种版本呢?当当网是不是该跟出版社商量商量,单独出个第6卷,让我们的孩子不会有所遗憾。",今天 知道 这书 还有 第卷 有点 郁闷 为什么 同一 套书 两种 版本 当当网 是不是 出版社 商量 商量 单独 出个 第卷 我们 孩子 不会 有所 遗憾,Book
0,机器背面似乎被撕了张什么标签，残胶还在。但是又看不出是什么标签不见了，该有的都在，怪,机器 背面 似乎 什么 标签 残胶 但是 看不出 什么 标签 不见,Others
0,呵呵，虽然表皮看上去不错很精致，但是我还是能看得出来是盗的。但是里面的内容真的不错，我妈爱看，我自己也学着找一些穴位。,呵呵 虽然 表皮 看上去 不错 精致 但是 还是 看得出来 但是 里面 内容 真的 不错 我妈 爱看 自己 学着 一些 穴位,Others
0,"这本书实在是太烂了,以前听浙大的老师说这本书怎么怎么不对,哪些地方都是误导的还不相信,终于买了一本看一下,发现真是~~~无语,这种书都写得出来",实在 太烂 以前 浙大 老师 怎么 怎么 哪些地方 误导 相信 终于 一本 一下 发现 真是 这种 出来,Book
1,"地理位置佳，在市中心。酒店服务好、早餐品种丰富。我住的商务数码房电脑宽带速度满意,房间还算干净，离湖南路小吃街近。",地理位置 市中心 服务 早餐 品种 丰富 商务 数码 宽带 速度 满意 干净 湖南路 小吃街,Hotel
1,5.1期间在这住的，位置还可以，在市委市政府附近，要去商业区和步行街得打车，屋里有蚊子，虽然空间挺大，晚上熄灯后把窗帘拉上简直是伸手不见五指，很适合睡觉，但是会被该死的蚊子吵醒！打死了两只，第二天早上还是发现又没打死的，卫生间挺大，但是设备很老旧。,期间 位置 可以 市委 市政府 附近 商业区 步行街 打车 屋里 蚊子 虽然 空间 挺大 晚上 熄灯 窗帘 拉上 简直 伸手不见五指 适合 睡觉 但是 该死 蚊子 吵醒 打死 两只 第二天 早上 还是 发现 打死 卫生间 挺大 但是 设备 老旧,Others
0,我看过朋友的还可以，但是我订的书迟迟未到已有半个月，都没有收到打电话也没有用，以后你们订书一定要考虑好！当当实在是太慢了,看过 朋友 可以 但是 我订 迟迟 未到 已有 半个 收到 打电话 以后 你们 订书 一定 考虑 当当 实在 太慢,Book
1,还不错，设施稍微有点旧但是可以接收，但是606的价格还不含早餐有点高了。楼下的商场和超市很方便。下次来还会选择这家。,不错 设施 稍微 有点 但是 可以 接收 但是 价格 早餐 有点 楼下 商场 超市 方便 下次 选择 这家,Others
1,轻便，方便携带，性能也不错，能满足平时的工作需要，对出差人员来说非常不错,轻便 方便 携带 性能 不错 满足 平时 工作 需要 出差 人员 来说 非常 不错,Others
1,"入住的是度假区的豪华海景房,前台给了5楼(最高6楼),然后差不多100%的海景,虽然是挂牌5星的,但是本人觉得是4星的标准,和我后来入住的5星喜来登差了蛮多的,不过整体来说还是符合他家的价钱的.",入住 度假区 豪华 海景房 前台 最高 然后 差不多 海景 虽然 挂牌 但是 本人 觉得 标准 后来 入住 喜来登 不过 整体 来说 还是 符合 他家 价钱,Others
0,1.模具有摄像头的位置，但是没有摄像头。 2.做工一般。 3.说明书和驱动都是电子版。 4.没有预装XP系统。,模具 摄像头 位置 但是 摄像头 做工 一般 说明书 驱动 电子版 预装 系统,Book
0,送的内胆包有点不好，还有外接电源中间连接处无法全部插入。续航时间也没有标称的那么长，希望京东能注意宣传的真实性。,内胆 有点 不好 还有 接电源 中间 连接处 无法 全部 插入 续航 时间 标称 那么 希望 京东 注意 宣传 真实性,Others
1,"这是我第1次给全五星哦^_^超级快!这是最快收到书的一次了.我是中午的时候订的,结果第2天上午就收到了,算了一下,1天的时间都还没到呢!在此,感激下当当的服务...我的确是很急需这本书呢.关于书的本身,也很不错.内容还是很丰富的,值得推荐,对于训练和培养逻辑思维套式有一定的帮助,推荐一下~还有祝朋友们都面试成功,哈哈哈~",第次 五星 超级 最快 收到 一次 中午 时候 结果 第天 上午 收到 算了 一下 时间 都还没 感激 下当 服务 的确 急需 关于 本身 不错 内容 还是 丰富 值得 推荐 对于 训练 培养 逻辑思维 套式 一定 帮助 推荐 一下 还有 朋友 面试 成功 哈哈哈,Book
0,很好的地理位置，一蹋糊涂的服务，萧条的酒店。,地理位置 一蹋 糊涂 服务 萧条,Hotel
1,漂亮（老婆认为的），性价比高。电池很棒，能用4～6个小时，兼容性还行，拿到手直接重装了WIN7，基本不需要任何驱动，除了快捷键。,漂亮 老婆 认为 性价比 电池 很棒 能用 小时 兼容性 拿到 直接 重装 基本 需要 任何 驱动 除了 快捷键,Others
0,内存太小，偶配了2根“金条”，目前兼容。但不知道是内存不兼容还是什么，有时会听到硬盘“咔咔”运行的声音。预置系统下Office是2007试用版，偶自装2003，则每次启动弹出正版增值计划窗口，很麻烦！,内存 太小 偶配 金条 目前 兼容 知道 内存 兼容 还是 什么 有时 听到 硬盘 运行 声音 预置 系统 试用版 偶自装 每次 启动 正版 增值 计划 窗口 麻烦,Others
1,非常不错，服务很好，位于市中心区，交通方便，不过价格也高！,非常 不错 服务 位于 市中心区 交通 方便 不过 价格,Others
1,"两岁的儿子特别喜欢车,尤其是火车，于是在朋友推荐下我买了一套。没想到孩子特别喜欢，尤其是第一本《轱辘轱辘转》，天天睡觉前都要把书抱到床上看。他会不停的问我“这是什么车？”，“这是什么车？”。现在已经把第一本书都翻烂了。走在路上，看到车时，他会非常兴奋的告诉我“妈妈，水泥搅拌车！”。书中各种各样的车，给了孩子很多想像的空间，而且这是我第一次在当当上买书就非常的成功，不错，下次还来。",两岁 儿子 特别 喜欢 尤其 火车 于是 朋友 推荐 一套 没想到 孩子 特别 喜欢 尤其 第一本 轱辘 轱辘 天天 睡觉 床上 不停 什么 什么 现在 已经 第一 翻烂 路上 看到 车时 非常 兴奋 告诉 妈妈 水泥 搅拌车 书中 各种各样 孩子 很多 想像 空间 而且 第一次 当当 非常 成功 不错 下次 还来,Book
0,"书看到最后几页居然是?双眼皮?,所有的字都印成了两遍头，根本就不能看。书的质量实在太差.",看到 最后 几页 居然 双眼皮 所有 印成 两遍 根本 不能 看书 质量 实在,Book
0,有些东西不赞同，事后的捷径，不过如此，年青人该经历的还是要去体验，否则拥有后还会抛弃，因为那不是他自己选择过的，所以此书可是说有误导成分,有些 东西 赞同 事后 捷径 不过如此 年青人 经历 还是 体验 否则 拥有 抛弃 因为 不是 自己 选择 所以 此书 可是 误导 成分,Book
