label,clean_text
1,选择 珠江 花园 原因 方便 电动 扶梯 直接 到达 海边 周围 餐馆 食廊 商场 超市 摊位 一应俱全 装修 一般 整洁 泳池 大堂 屋顶 因此 很小 不过 女儿 喜欢 早餐 西式 丰富 服务 一般
1,键盘 确实 基本 台式机 差不多 喜欢 数字 小键盘 数字 方便 样子 美观 做工 相当 不错
0,太小 其他 一般
0,接电源 几分钟 电源适配器 不行 摄像头 起来 机盖 钢琴漆 不能 一摸 硬盘分区 不好办
1,今天 知道 这书 还有 第卷 郁闷 为什么 同一 套书 两种 版本 是不是 出版社 商量 商量 单独 出个 第卷 孩子 不会 有所 遗憾
0,机器 背面 似乎 标签 残胶 看不出 标签 不见
0,呵呵 表皮 看上去 不错 精致 看得出来 里面 真的 不错 我妈 爱看 学着 一些 穴位
0,实在 太烂 以前 浙大 老师 怎么 怎么 哪些地方 误导 相信 终于 一本 一下 发现 真是 出来
1,地理位置 市中心 服务 早餐 品种 丰富 商务 数码 宽带 速度 满意 干净 湖南路 小吃街
1,期间 位置 市委 市政府 附近 商业区 步行街 打车 屋里 蚊子 空间 挺大 晚上 熄灯 窗帘 拉上 简直 伸手不见五指 适合 睡觉 该死 蚊子 吵醒 打死 两只 第二天 早上 发现 打死 卫生间 挺大 设备 老旧
0,看过 朋友 我订 迟迟 未到 已有 半个 收到 打电话 以后 你们 订书 一定 考虑 当当 实在 太慢
1,不错 设施 稍微 接收 价格 早餐 楼下 商场 超市 方便 下次 选择 这家
1,轻便 方便 携带 性能 不错 满足 平时 工作 需要 出差 人员 来说 非常 不错
1,入住 度假区 豪华 海景房 前台 最高 然后 差不多 海景 挂牌 本人 标准 后来 入住 喜来登 不过 整体 来说 符合 他家 价钱
0,模具 摄像头 位置 摄像头 做工 一般 说明书 驱动 电子版 预装 系统
0,内胆 不好 还有 接电源 中间 连接处 无法 全部 插入 续航 时间 标称 希望 注意 宣传 真实性
